Color_Name,Color_Name_Readable,Hex,R,G,B,LAB(OpenCV)
green,green,#31b52f,49,181,47,[166  68 183]
green,green,#02b72e,2,183,46,[166  63 183]
green,green,#21a708,33,167,8,[153  68 188]
green,green,#00a906,0,169,6,[154  65 188]
green,green,#36a620,54,166,32,[153  73 183]
green,green,#19a71f,25,167,31,[153  68 183]
green,green,#00a91f,0,169,31,[154  66 183]
green,green,#31a62e,49,166,46,[153  73 178]
green,green,#0ca82e,12,168,46,[154  68 178]
green,green,#00a92e,0,169,46,[154  67 178]
green,green,#2aa63a,42,166,58,[153  73 173]
green,green,#00a83a,0,168,58,[154  68 173]
green,green,#289800,40,152,0,[140  74 185]
green,green,#009a00,0,154,0,[141  69 185]
green,green,#23980d,35,152,13,[140  73 183]
green,green,#009a0c,0,154,12,[141  69 183]
green,green,#1c9820,28,152,32,[140  73 178]
green,green,#009a20,0,154,32,[141  70 178]
green,green,#12982d,18,152,45,[140  73 173]
green,green,#009a2d,0,154,45,[141  71 173]
blue,blue,#0059ff,0,89,255,[114 171  41]
blue,blue,#005dc1,0,93,193,[104 145  69]
blue,blue,#1357ca,19,87,202,[102 153  63]
blue,blue,#005aca,0,90,202,[104 150  64]
blue,blue,#0056db,0,86,219,[104 160  55]
blue,blue,#004df6,0,77,246,[105 175  40]
blue,blue,#0045ff,0,69,255,[103 183  34]
blue,blue,#004aff,0,74,255,[106 180  35]
blue,blue,#0041ff,0,65,255,[101 185  32]
blue,blue,#0049c5,0,73,197,[ 91 160  59]
blue,blue,#0046cd,0,70,205,[ 91 165  54]
blue,blue,#0043d6,0,67,214,[ 91 170  49]
blue,blue,#0040df,0,64,223,[ 92 175  44]
blue,blue,#0037e7,0,55,231,[ 89 183  38]
blue,blue,#003de7,0,61,231,[ 92 179  40]
blue,blue,#0039f0,0,57,240,[ 93 185  35]
blue,blue,#0035f9,0,53,249,[ 94 190  31]
blue,blue,#150fff,21,15,255,[ 85 205  22]
blue,blue,#0021ea,0,33,234,[ 81 194  31]
blue,blue,#0000fc,0,0,252,[ 82 206  21]
purple,purple,#8c3ba0,140,59,160,[102 178  88]
purple,purple,#8541a0,133,65,160,[102 173  88]
purple,purple,#8f35a9,143,53,169,[102 183  83]
purple,purple,#873ca9,135,60,169,[102 178  83]
purple,purple,#922eb1,146,46,177,[102 188  78]
purple,purple,#8a36b1,138,54,177,[102 183  78]
purple,purple,#7f2d93,127,45,147,[ 89 178  88]
purple,purple,#891b9b,137,27,155,[ 89 188  83]
purple,purple,#82269b,130,38,155,[ 89 183  83]
purple,purple,#7a2f9b,122,47,155,[ 89 178  83]
